state,quality_domain,total_quality_domain_records,compared_records,missing_records,missing_pct,below_average_records,below_average_pct
AK,Effectiveness of Care,22,8,14,63.64,1,12.5
AK,Efficient Use of Medical Imaging,22,4,18,81.82,0,0.0
AK,Mortality,22,8,14,63.64,0,0.0
AK,Patient Experience,22,10,12,54.55,3,30.0
AK,Readmission,22,11,11,50.0,0,0.0
AK,Safety of Care,22,7,15,68.18,4,57.14
AK,Timeliness of Care,22,7,15,68.18,2,28.57
AL,Effectiveness of Care,90,85,5,5.56,12,14.12
AL,Efficient Use of Medical Imaging,90,60,30,33.33,17,28.33
AL,Mortality,90,77,13,14.44,14,18.18
AL,Patient Experience,90,72,18,20.0,20,27.78
AL,Readmission,90,80,10,11.11,12,15.0
AL,Safety of Care,90,50,40,44.44,14,28.0
AL,Timeliness of Care,90,86,4,4.44,13,15.12
AR,Effectiveness of Care,75,56,19,25.33,5,8.93
AR,Efficient Use of Medical Imaging,75,43,32,42.67,12,27.91
AR,Mortality,75,61,14,18.67,18,29.51
AR,Patient Experience,75,50,25,33.33,12,24.0
AR,Readmission,75,66,9,12.0,21,31.82
AR,Safety of Care,75,32,43,57.33,4,12.5
AR,Timeliness of Care,75,54,21,28.0,1,1.85
AS,Effectiveness of Care,1,0,1,100.0,0,
AS,Efficient Use of Medical Imaging,1,0,1,100.0,0,
AS,Mortality,1,0,1,100.0,0,
AS,Patient Experience,1,0,1,100.0,0,
AS,Readmission,1,0,1,100.0,0,
AS,Safety of Care,1,0,1,100.0,0,
AS,Timeliness of Care,1,0,1,100.0,0,
AZ,Effectiveness of Care,80,58,22,27.5,7,12.07
AZ,Efficient Use of Medical Imaging,80,42,38,47.5,7,16.67
AZ,Mortality,80,48,32,40.0,3,6.25
AZ,Patient Experience,80,63,17,21.25,32,50.79
AZ,Readmission,80,59,21,26.25,8,13.56
AZ,Safety of Care,80,49,31,38.75,16,32.65
AZ,Timeliness of Care,80,55,25,31.25,18,32.73
CA,Effectiveness of Care,343,290,53,15.45,25,8.62
CA,Efficient Use of Medical Imaging,343,190,153,44.61,33,17.37
CA,Mortality,343,255,88,25.66,25,9.8
CA,Patient Experience,343,295,48,13.99,180,61.02
CA,Readmission,343,271,72,20.99,68,25.09
CA,Safety of Care,343,268,75,21.87,53,19.78
CA,Timeliness of Care,343,251,92,26.82,156,62.15
CO,Effectiveness of Care,78,52,26,33.33,0,0.0
CO,Efficient Use of Medical Imaging,78,45,33,42.31,3,6.67
CO,Mortality,78,46,32,41.03,2,4.35
CO,Patient Experience,78,54,24,30.77,4,7.41
CO,Readmission,78,58,20,25.64,1,1.72
CO,Safety of Care,78,42,36,46.15,12,28.57
CO,Timeliness of Care,78,51,27,34.62,0,0.0
CT,Effectiveness of Care,31,28,3,9.68,1,3.57
CT,Efficient Use of Medical Imaging,31,27,4,12.9,2,7.41
