state,total_hospitals,rated_hospitals,avg_rating,rating_coverage_pct,sample_weight,sample_adjusted_rating_score
AK,22,9,2.89,40.91,0.31,0.9
AL,90,79,3.05,87.78,0.798,2.43
AR,75,55,2.84,73.33,0.733,2.08
AZ,80,54,2.94,67.5,0.73,2.15
CA,343,290,2.84,84.55,0.935,2.66
CO,78,51,3.45,65.38,0.718,2.48
CT,31,28,2.71,90.32,0.583,1.58
DC,8,7,1.43,87.5,0.259,0.37
DE,7,6,3.67,85.71,0.231,0.85
FL,187,169,2.66,90.37,0.894,2.38
GA,133,108,2.94,81.2,0.844,2.48
GU,2,1,3.0,50.0,0.048,0.14
HI,23,13,3.31,56.52,0.394,1.3
IA,116,71,3.39,61.21,0.78,2.64
ID,41,19,3.53,46.34,0.487,1.72
IL,180,159,3.13,88.33,0.888,2.78
IN,120,108,3.48,90.0,0.844,2.94
KS,137,58,3.34,42.34,0.744,2.48
KY,94,83,2.98,88.3,0.806,2.4
LA,121,79,3.13,65.29,0.798,2.5
MA,64,57,3.19,89.06,0.74,2.36
ME,33,32,3.44,96.97,0.615,2.12
MI,131,115,3.19,87.79,0.852,2.72
MN,131,79,3.53,60.31,0.798,2.82
MO,112,86,3.01,76.79,0.811,2.44
MS,95,63,2.78,66.32,0.759,2.11
MT,62,23,3.35,37.1,0.535,1.79
NC,107,94,3.11,87.85,0.825,2.56
ND,44,16,3.19,36.36,0.444,1.42
NE,89,48,3.29,53.93,0.706,2.32
NH,26,25,3.48,96.15,0.556,1.93
NJ,66,64,2.55,96.97,0.762,1.94
NM,41,31,2.71,75.61,0.608,1.65
NV,35,25,2.4,71.43,0.556,1.33
NY,171,153,2.32,89.47,0.884,2.05
OH,168,140,3.38,83.33,0.875,2.96
OK,124,81,3.15,65.32,0.802,2.53
OR,60,52,3.15,86.67,0.722,2.27
PA,171,147,3.01,85.96,0.88,2.65
PR,52,9,2.11,17.31,0.31,0.65
RI,11,11,3.27,100.0,0.355,1.16
SC,60,52,3.19,86.67,0.722,2.3
SD,60,14,3.86,23.33,0.412,1.59
TN,107,93,2.87,86.92,0.823,2.36
TX,411,264,3.23,64.23,0.93,3.0
UT,46,29,3.45,63.04,0.592,2.04
VA,86,76,3.01,88.37,0.792,2.38
VI,2,2,2.0,100.0,0.091,0.18
VT,14,12,3.25,85.71,0.375,1.22
WA,91,66,3.02,72.53,0.767,2.32
WI,126,108,3.61,85.71,0.844,3.05
WV,49,37,2.76,75.51,0.649,1.79
WY,28,16,3.0,57.14,0.444,1.33
