provider_id,hospital_name,address,city,state,zip_code,county_name,phone_number,hospital_type,hospital_ownership,emergency_services,meets_criteria_for_meaningful_use_of_ehrs,hospital_overall_rating,mortality_national_comparison,safety_of_care_national_comparison,readmission_national_comparison,patient_experience_national_comparison,effectiveness_of_care_national_comparison,timeliness_of_care_national_comparison,efficient_use_of_medical_imaging_national_comparison
240078,FAIRVIEW SOUTHDALE HOSPITAL,6401 FRANCE AVENUE SOUTH,EDINA,MN,55435,HENNEPIN,9529245100,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,4.0,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average
250001,UNIVERSITY OF MISSISSIPPI MED CENTER,2500 N STATE ST,JACKSON,MS,39216,HINDS,6019844100,Acute Care Hospitals,Government - State,Yes,Y,1.0,Below the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
383300,SHRINERS HOSPITAL FOR CHILDREN-PORTLAND,3101 SW SAM JACKSON PARK ROAD,PORTLAND,OR,97239,MULTNOMAH,5032415090,Childrens,Voluntary non-profit - Private,No,Y,,,,,,,,
170049,OLATHE MEDICAL CENTER,20333 WEST 151ST STREET,OLATHE,KS,66061,JOHNSON,9137914200,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3.0,Same as the national average,Same as the national average,Below the national average,Above the national average,Same as the national average,Above the national average,Above the national average
361323,AULTMAN ORRVILLE HOSPITAL,832 SOUTH MAIN STREET,ORRVILLE,OH,44667,WAYNE,3306823010,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,3.0,,,Same as the national average,Above the national average,Same as the national average,Above the national average,
450411,EASTLAND MEMORIAL HOSPITAL,304 S DAUGHERTY,EASTLAND,TX,76448,EASTLAND,2546292601,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,4.0,Same as the national average,,Same as the national average,Above the national average,Below the national average,Same as the national average,
451379,CORYELL MEMORIAL HEALTHCARE SYSTEM,1507 W MAIN STREET,GATESVILLE,TX,76528,CORYELL,2548658251,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,,,,,Above the national average,Same as the national average,Same as the national average,Same as the national average
251326,JEFFERSON DAVIS COMMUNITY HOSPITAL CAH,1102 ROSE STREET,PRENTISS,MS,39474,JEFFERSON DAVIS,6017924276,Critical Access Hospitals,Government - Local,Yes,Y,,,,Same as the national average,,,,
450292,TEXAS HEALTH PRESBYTERIAN HOSPITAL KAUFMAN,850 ED HALL,KAUFMAN,TX,75142,KAUFMAN,9729327200,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3.0,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
140133,HOLY CROSS HOSPITAL,2701 W 68TH STREET,CHICAGO,IL,60629,COOK,7738849000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,1.0,Above the national average,Below the national average,Below the national average,Below the national average,Below the national average,Below the national average,Same as the national average
520109,MILE BLUFF MEDICAL CENTER,1050 DIVISION ST,MAUSTON,WI,53948,JUNEAU,6088476161,Acute Care Hospitals,Proprietary,Yes,Y,3.0,Same as the national average,,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
